"POL","POLABBREV","POLN","InhalationCancerURF","InhalationCancerSlopeFactor","OralCancerSlopeFactor","AcuteREL","InhalationChronicREL","OralChronicREL","InhalationChronicREL_8HR","IsMultipathway","MolWtCorrection","POLALTN1","OEHHA_PHGV_INFO","POL_TYPE","TOXAPPEN","REG_SUBST","AB2588_CHEM","CTR_CHEM","CARCINOGEN","DEG_ACC","HEADER_OR_DUPLICATE_FLAG","HEADER_OR_DUPLICATE_INFO","HAPS","TAC_ID","EPA_EXEMPT_VOC","EPA_POL","ALPHA_POL_SORT","RPT_GROUP","RPT_GROUP_B","RPT_GROUP_C","RPT_GROUP_D","DELETED_CHEM","CONVERTED_FROM_DEL_CHEM","METAL_MWAF_FLAG","PARENT_POL","PARENT_METAL_GRP","Prop65_Cancer","Prop65_DART","IARC_GROUP","Functional_Grp_Assoc","LAST_UPDT_HEALTH","DISPLAYORDER","DermalAbsorptionFactor","HalfLifeInSoil","RChem_Group_HV","PathwaySoilIngestion","PathwayDermal","PathwayMothersMilk"
335660,PFOA Fluoride,Perfluorooctanoic acid fluoride,,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0155: Perfluorooctanoic acid fluoride,PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
27619905,PFAS: 27619905,"2-(Perfluorooctyl)ethanesulfonyl chloride",,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0159: 2-(Perfluorooctyl)ethanesulfonyl chloride,PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
40143780,PFOPA,Perfluorooctylphosphonic acid {PFOPA},,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0162: Perfluorooctylphosphonic acid {PFOPA},PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
2706903,PFPeAcid,Perfluoropentanoic acid {PFPeA},,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0164: Perfluoropentanoic acid {PFPeA},PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
175905369,PFPeSulfonate,Perfluoropentane sulfonate {PFPeS},,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0165: Perfluoropentane sulfonate {PFPeS},PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
72629948,PFTrDAcid,Perfluorotridecanoic acid {PFTrDA},,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0167: Perfluorotridecanoic acid {PFTrDA},PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
60699516,PFAS: 60699516,"2-(Perfluorotetradecyl)ethanol {PFA 14}",,,,,,,,,,PFA 14,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0169: 2-(Perfluorotetradecyl)ethanol {PFA 14},PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
65510556,PFAS: 65510556,Perfluorotetradecylethyl iodide,,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0170: Perfluorotetradecylethyl iodide,PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
68412691,PFAS: 68412691,"Phosphinic acid, bis(perfluoro-C6-12-alkyl) derivatives",,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,"PFAS: PF0172: Phosphinic acid, bis(perfluoro-C6-12-alkyl) derivatives",PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
68412680,PFAS: 68412680,"Phosphonic acid, perfluoro-C6-12-alkyl derivatives",,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,"PFAS: PF0173: Phosphonic acid, perfluoro-C6-12-alkyl derivatives",PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
308076746,SiCarbidFibrous,"Silicon carbide, fibrous",,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,Y,50,,PLACEHOLDER,,,,PLACEHOLDER,Silicon carbide zz fibrous,Silicon carbide,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,P65_CANC,,"2B",PLACEHOLDER,,,,,,,,
7758192,Sodium chlorite,Sodium chlorite,,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,N,100,,PLACEHOLDER,,,,PLACEHOLDER,Sodium chlorite,Sodium chlorite,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,"3",PLACEHOLDER,,,,,,,,
922805,SDiamylSulfSucc,Sodium diamyl sulfosuccinate,,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,Sodium diamyl sulfosuccinate,Sodium diamyl sulfosuccinate,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
7345699,STetThioCrbmte,Sodium tetrathiocarbamate,,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,Sodium tetrathiocarbamate,Sodium tetrathiocarbamate,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
148477718,Spirodiclofen,Spirodiclofen,,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,Y,50,,PLACEHOLDER,,,,PLACEHOLDER,Spirodiclofen,Spirodiclofen,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,P65_CANC,,,PLACEHOLDER,,,,,,,,
9003547,StyrnAcNitrPlym,"Styrene-acrylonitrile copolymers 
(must report the individ. monomer compnts)",,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,N,10,,PLACEHOLDER,,,,PLACEHOLDER,Styrene _acrylonitrile copolymers,Styrene-acrylonitrile copolymers (must report the individual monomer components),Styrene related,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,"3",PLACEHOLDER,,,,,,,,
100425,Styrene,Styrene,,,,21000,900,,,False,1,Ethenyl benzene,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,Y,10,,PLACEHOLDER,Y,TAC,,PLACEHOLDER,Styrene and styrene oxide and related: Styrene,Styrene and styrene oxide and related,Styrene related,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,P65_CANC,,"2A",PLACEHOLDER,"2017-08-16",428,,,,False,False,False
